type,start_dt_key,end_dt_key,start_dt_local,end_dt_local,n_points,duration_hours,unique_days_count
PV1,2024-07-11T11:00:00+02:00,2024-07-11T15:30:00+02:00,2024-07-11 11:00:00,2024-07-11 15:30:00,10,5.0,1
PV1,2024-07-12T13:30:00+02:00,2024-07-12T15:30:00+02:00,2024-07-12 13:30:00,2024-07-12 15:30:00,5,2.5,1
PV1,2024-07-13T10:30:00+02:00,2024-07-13T15:30:00+02:00,2024-07-13 10:30:00,2024-07-13 15:30:00,11,5.5,1
PV1,2024-07-14T13:00:00+02:00,2024-07-14T15:30:00+02:00,2024-07-14 13:00:00,2024-07-14 15:30:00,6,3.0,1
PV1,2024-07-15T12:00:00+02:00,2024-07-15T15:30:00+02:00,2024-07-15 12:00:00,2024-07-15 15:30:00,8,4.0,1
PV1,2024-07-16T11:00:00+02:00,2024-07-16T15:30:00+02:00,2024-07-16 11:00:00,2024-07-16 15:30:00,10,5.0,1
PV1,2024-07-17T10:30:00+02:00,2024-07-17T15:30:00+02:00,2024-07-17 10:30:00,2024-07-17 15:30:00,11,5.5,1
PV1,2024-07-18T10:00:00+02:00,2024-07-18T15:30:00+02:00,2024-07-18 10:00:00,2024-07-18 15:30:00,12,6.0,1
PV1,2024-07-19T11:00:00+02:00,2024-07-19T15:30:00+02:00,2024-07-19 11:00:00,2024-07-19 15:30:00,10,5.0,1
PV1,2024-07-20T10:30:00+02:00,2024-07-20T15:30:00+02:00,2024-07-20 10:30:00,2024-07-20 15:30:00,11,5.5,1
PV1,2024-07-22T11:30:00+02:00,2024-07-22T15:30:00+02:00,2024-07-22 11:30:00,2024-07-22 15:30:00,9,4.5,1
PV1,2024-07-23T11:00:00+02:00,2024-07-23T15:30:00+02:00,2024-07-23 11:00:00,2024-07-23 15:30:00,10,5.0,1
PV1,2024-07-24T10:30:00+02:00,2024-07-24T15:30:00+02:00,2024-07-24 10:30:00,2024-07-24 15:30:00,11,5.5,1
PV1,2024-07-25T10:30:00+02:00,2024-07-25T15:30:00+02:00,2024-07-25 10:30:00,2024-07-25 15:30:00,11,5.5,1
PV1,2024-07-26T11:00:00+02:00,2024-07-26T15:30:00+02:00,2024-07-26 11:00:00,2024-07-26 15:30:00,10,5.0,1
PV1,2024-07-27T12:00:00+02:00,2024-07-27T15:30:00+02:00,2024-07-27 12:00:00,2024-07-27 15:30:00,8,4.0,1
PV1,2024-07-28T10:30:00+02:00,2024-07-28T15:30:00+02:00,2024-07-28 10:30:00,2024-07-28 15:30:00,11,5.5,1
PV1,2024-07-29T10:30:00+02:00,2024-07-29T15:30:00+02:00,2024-07-29 10:30:00,2024-07-29 15:30:00,11,5.5,1
PV1,2024-07-30T10:30:00+02:00,2024-07-30T15:30:00+02:00,2024-07-30 10:30:00,2024-07-30 15:30:00,11,5.5,1
PV1,2024-07-31T11:00:00+02:00,2024-07-31T15:30:00+02:00,2024-07-31 11:00:00,2024-07-31 15:30:00,10,5.0,1
PV1,2024-08-01T11:30:00+02:00,2024-08-01T15:30:00+02:00,2024-08-01 11:30:00,2024-08-01 15:30:00,9,4.5,1
PV1,2024-08-02T11:00:00+02:00,2024-08-02T15:30:00+02:00,2024-08-02 11:00:00,2024-08-02 15:30:00,10,5.0,1
PV1,2024-08-03T11:00:00+02:00,2024-08-03T15:30:00+02:00,2024-08-03 11:00:00,2024-08-03 15:30:00,10,5.0,1
PV1,2024-08-04T11:00:00+02:00,2024-08-04T15:30:00+02:00,2024-08-04 11:00:00,2024-08-04 15:30:00,10,5.0,1
PV1,2024-08-05T10:00:00+02:00,2024-08-05T15:30:00+02:00,2024-08-05 10:00:00,2024-08-05 15:30:00,12,6.0,1
PV1,2024-08-06T10:30:00+02:00,2024-08-06T15:30:00+02:00,2024-08-06 10:30:00,2024-08-06 15:30:00,11,5.5,1
PV1,2024-08-07T11:30:00+02:00,2024-08-07T15:30:00+02:00,2024-08-07 11:30:00,2024-08-07 15:30:00,9,4.5,1
PV1,2024-08-08T10:30:00+02:00,2024-08-08T15:30:00+02:00,2024-08-08 10:30:00,2024-08-08 15:30:00,11,5.5,1
PV1,2024-08-09T10:30:00+02:00,2024-08-09T15:30:00+02:00,2024-08-09 10:30:00,2024-08-09 15:30:00,11,5.5,1
PV1,2024-08-10T11:00:00+02:00,2024-08-10T15:30:00+02:00,2024-08-10 11:00:00,2024-08-10 15:30:00,10,5.0,1
PV1,2024-08-11T11:00:00+02:00,2024-08-11T15:30:00+02:00,2024-08-11 11:00:00,2024-08-11 15:30:00,10,5.0,1
PV1,2024-08-12T11:00:00+02:00,2024-08-12T15:30:00+02:00,2024-08-12 11:00:00,2024-08-12 15:30:00,10,5.0,1
