dt,absorb_need_mw,grid_buy_eur_per_mwh,grid_sell_eur_per_mwh,h2_price_eur_per_kg,P_curt_use_mw,Unused_curt_mw,P_grid_buy_mw,P_grid_sell_mw,P_el_mw,y_el_on,y_el_start,y_el_stop,P_fc_mw,y_fc_on,y_fc_start,y_fc_stop,y_switch_el2fc,y_switch_fc2el,P_batt_ch_mw,P_batt_dis_mw,SOC_batt_mwh,H2_prod_kg,H2_cons_fc_kg,H2_sale_kg,SOC_h2_kg
2024-01-14 04:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 04:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 05:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 05:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 06:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 06:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 07:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 07:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 08:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 08:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 09:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 09:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 10:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 10:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 11:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 11:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 12:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 12:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 13:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 13:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 14:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 14:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 15:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 15:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 16:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
