dt,absorb_need_mw_region,absorb_need_mw,heat_demand_mw_th,h2_price_eur_per_kg,P_curt_use_mw,Unused_curt_mw,P_batt_ch_mw,P_batt_dis_mw,SOC_batt_mwh,P_p2h_mw,Q_th_dis_mw_th,Slack_unmet_th_mw_th,SOC_th_mwh_th,P_el_mw,y_el_on,y_el_start,y_el_stop,H2_prod_kg,H2_sale_kg,SOC_h2_kg,P_pb_deficit_mw,P_pb_surplus_mw
2024-06-11 11:30:00+02:00,0.0,0.0,0.0,14.349549,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 12:00:00+02:00,0.0,0.0,0.0,14.476949,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 12:30:00+02:00,0.0,0.0,0.0,14.476949,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 13:00:00+02:00,0.0,0.0,0.0,13.877909,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 13:30:00+02:00,0.0,0.0,0.0,13.877909,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 14:00:00+02:00,0.0,0.0,0.0,13.705269,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 14:30:00+02:00,12.878522513297938,0.08499824858776639,0.0,13.705269,0.08499824858776639,0.0,0.08499824858776639,0.0,0.3403741680791891,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 15:00:00+02:00,2.6633217998980063,0.017577923879326843,0.0,13.656389,0.017577923879326843,0.0,0.017577923879326843,0.0,0.3487236819218693,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 15:30:00+02:00,2.745476015143715,0.01812014169994852,0.0,13.656389,0.01812014169994852,0.0,0.01812014169994852,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 16:00:00+02:00,0.0,0.0,0.0,13.384949,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 16:30:00+02:00,0.0,0.0,0.0,13.384949,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 17:00:00+02:00,0.0,0.0,0.0,13.748949,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 17:30:00+02:00,0.0,0.0,0.0,13.748949,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 18:00:00+02:00,0.0,0.0,0.0,14.518549,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 18:30:00+02:00,0.0,0.0,0.0,14.518549,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 19:00:00+02:00,0.0,0.0,0.0,14.137389,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 19:30:00+02:00,0.0,0.0,0.0,14.137389,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 20:00:00+02:00,0.0,0.0,0.0,15.329228999999998,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 20:30:00+02:00,0.0,0.0,0.0,15.329228999999998,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 21:00:00+02:00,0.0,0.0,0.0,16.039549,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 21:30:00+02:00,0.0,0.0,0.0,16.039549,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 22:00:00+02:00,0.0,0.0,0.0,16.092069000000002,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 22:30:00+02:00,0.0,0.0,0.0,16.092069000000002,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 23:00:00+02:00,0.0,0.0,0.0,15.928788999999998,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-11 23:30:00+02:00,0.0,0.0,0.0,15.928788999999998,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-12 00:00:00+02:00,0.0,0.0,0.0,15.464949,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-12 00:30:00+02:00,0.0,0.0,0.0,15.464949,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-12 01:00:00+02:00,0.0,0.0,0.0,15.256949,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-12 01:30:00+02:00,0.0,0.0,0.0,15.256949,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-12 02:00:00+02:00,0.0,0.0,0.0,14.697429,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-12 02:30:00+02:00,0.0,0.0,0.0,14.697429,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-12 03:00:00+02:00,0.0,0.0,0.0,14.217469,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
